no_below,no_above,idf,bool,norm,C,score
10,0.7,True,False,None,10.0,0.800016452781
10,0.7,True,False,l2,0.001,0.787234950297
10,0.7,True,False,l2,0.01,0.800906306382
10,0.7,True,False,l2,0.1,0.824500975225
10,0.7,True,False,l2,1.0,0.822750452377
10,0.7,True,False,l2,10.0,0.804159445407
10,0.7,False,False,None,0.001,0.810887416114
10,0.7,False,False,None,0.01,0.789788896912
10,0.7,False,False,None,0.1,0.774776324845
10,0.7,False,False,None,1.0,0.764857429807
10,0.7,False,False,None,10.0,0.763072611019
10,0.7,False,False,l2,0.001,0.756449683923
10,0.7,False,False,l2,0.01,0.778700780861
10,0.7,False,False,l2,0.1,0.808556326396
10,0.7,False,False,l2,1.0,0.810184606409
10,0.7,False,False,l2,10.0,0.798681245305
10,0.7,False,True,None,0.001,0.814410021438
10,0.7,False,True,None,0.01,0.803977272727
10,0.7,False,True,None,0.1,0.789555827393
10,0.7,False,True,None,1.0,0.782730872397
10,0.7,False,True,None,10.0,0.780808468861
20,0.1,True,False,None,0.001,0.710867733783
20,0.1,True,False,None,0.01,0.690631529572
20,0.1,True,False,None,0.1,0.646159496809
20,0.1,True,False,None,1.0,0.456102170552
20,0.1,True,False,None,10.0,0.369574612583
20,0.1,True,False,l2,0.001,0.729403799772
20,0.1,True,False,l2,0.01,0.726282848202
20,0.1,True,False,l2,0.1,0.735967441072
20,0.1,True,False,l2,1.0,0.730193166173
20,0.1,True,False,l2,10.0,0.707094495143
20,0.1,False,False,None,0.001,0.675584342439
20,0.1,False,False,None,0.01,0.666635704997
20,0.1,False,False,None,0.1,0.646450595818
20,0.1,False,False,None,1.0,0.557869650813
20,0.1,False,False,None,10.0,0.42416711048
20,0.1,False,False,l2,0.001,0.726086035177
20,0.1,False,False,l2,0.01,0.724211972859
20,0.1,False,False,l2,0.1,0.735355249205
20,0.1,False,False,l2,1.0,0.728307254623
20,0.1,False,False,l2,10.0,0.706011575345
20,0.1,False,True,None,0.001,0.705855401814
20,0.1,False,True,None,0.01,0.704339320647
20,0.1,False,True,None,0.1,0.687135400675
20,0.1,False,True,None,1.0,0.620868812238
20,0.1,False,True,None,10.0,0.478742650384
20,0.3,True,False,None,0.001,0.777240113466
20,0.3,True,False,None,0.01,0.764491080797
20,0.3,True,False,None,0.1,0.751921198998
20,0.3,True,False,None,1.0,0.745287042566
20,0.3,True,False,None,10.0,0.744517450294
20,0.3,True,False,l2,0.001,0.772982158029
20,0.3,True,False,l2,0.01,0.776336494705
20,0.3,True,False,l2,0.1,0.799482103329
20,0.3,True,False,l2,1.0,0.7965053985
20,0.3,True,False,l2,10.0,0.775856389987
20,0.3,False,False,None,0.001,0.7831196123
20,0.3,False,False,None,0.01,0.759082217973
20,0.3,False,False,None,0.1,0.737050565506
20,0.3,False,False,None,1.0,0.705062362436
20,0.3,False,False,None,10.0,0.68995755399
20,0.3,False,False,l2,0.001,0.768808114962
20,0.3,False,False,l2,0.01,0.775915789474
20,0.3,False,False,l2,0.1,0.796916445623
20,0.3,False,False,l2,1.0,0.793534287246
20,0.3,False,False,l2,10.0,0.775484884827
20,0.3,False,True,None,0.001,0.796472932299
20,0.3,False,True,None,0.01,0.775590383055
20,0.3,False,True,None,0.1,0.751211072664
20,0.3,False,True,None,1.0,0.725161866488
20,0.3,False,True,None,10.0,0.715386009424
20,0.5,True,False,None,0.001,0.802319365053
20,0.5,True,False,None,0.01,0.792718586549
20,0.5,True,False,None,0.1,0.784411483651
20,0.5,True,False,None,1.0,0.781601533206
20,0.5,True,False,None,10.0,0.781572809064
20,0.5,True,False,l2,0.001,0.785918011153
20,0.5,True,False,l2,0.01,0.798570527643
20,0.5,True,False,l2,0.1,0.821316355217
20,0.5,True,False,l2,1.0,0.815033403008
20,0.5,True,False,l2,10.0,0.79717407377
