no_below,no_above,idf,bool,norm,C,score
5,0.3,False,False,l2,10.0,0.76753818276
5,0.3,False,True,None,0.001,0.789754721077
5,0.3,False,True,None,0.01,0.772456392188
5,0.3,False,True,None,0.1,0.757896594318
5,0.3,False,True,None,1.0,0.745245783997
5,0.3,False,True,None,10.0,0.742599684614
5,0.5,True,False,None,0.001,0.807815422989
5,0.5,True,False,None,0.01,0.801284993116
5,0.5,True,False,None,0.1,0.800567660072
5,0.5,True,False,None,1.0,0.800400868549
5,0.5,True,False,None,10.0,0.800350774627
5,0.5,True,False,l2,0.001,0.791109229467
5,0.5,True,False,l2,0.01,0.801868691082
5,0.5,True,False,l2,0.1,0.819297082228
5,0.5,True,False,l2,1.0,0.815882377373
5,0.5,True,False,l2,10.0,0.803195048511
5,0.5,False,False,None,0.001,0.796760313845
5,0.5,False,False,None,0.01,0.776857353515
5,0.5,False,False,None,0.1,0.759676206485
5,0.5,False,False,None,1.0,0.746863335882
5,0.5,False,False,None,10.0,0.744204924687
5,0.5,False,False,l2,0.001,0.76369261644
5,0.5,False,False,l2,0.01,0.779910167415
5,0.5,False,False,l2,0.1,0.800508363398
5,0.5,False,False,l2,1.0,0.801503759398
5,0.5,False,False,l2,10.0,0.789177763686
5,0.5,False,True,None,0.001,0.809750748598
5,0.5,False,True,None,0.01,0.796367802436
5,0.5,False,True,None,0.1,0.781486579491
5,0.5,False,True,None,1.0,0.773348420228
5,0.5,False,True,None,10.0,0.772665823558
5,0.7,True,False,None,0.001,0.812250996016
5,0.7,True,False,None,0.01,0.807305100258
5,0.7,True,False,None,0.1,0.805731422859
5,0.7,True,False,None,1.0,0.805434012585
5,0.7,True,False,None,10.0,0.805501146072
5,0.7,True,False,l2,0.001,0.785836323253
5,0.7,True,False,l2,0.01,0.79822616408
5,0.7,True,False,l2,0.1,0.8195
5,0.7,True,False,l2,1.0,0.820242444371
5,0.7,True,False,l2,10.0,0.80790889751
5,0.7,False,False,None,0.001,0.802199185798
